"filter","Date","sampledFlow","sampledDatePC","sampledDateFlow","flow","turbidity","Bin1","Bin2","Bin3","Bin4","Bin5","Bin6","Bin7","Bin8","Bin9","difference","runID","runDifference"
12,2021-03-02 19:30:00,0.9947076,2021-03-02 19:24:00,2021-03-02 19:30:00,1,0.02319902,0.27838824,0.02319902,0,0,0,0,0,0,0,15,1,0
12,2021-03-02 19:45:00,0.9821538,2021-03-02 19:39:00,2021-03-02 19:45:00,1,0.02319902,0.27838824,0,0,0,0,0,0,0,0,15,1,0.25
12,2021-03-02 20:00:00,0.9902769,2021-03-02 19:54:00,2021-03-02 20:00:00,1,0.02319902,0.2319902,0,0,0,0,0,0,0,0,15,1,0.5
12,2021-03-02 20:15:00,0.9939692,2021-03-02 20:09:00,2021-03-02 20:15:00,1,0.02319902,0.27838824,0,0,0,0,0,0,0,0,15,1,0.75
12,2021-03-02 20:30:00,1.008,2021-03-02 20:24:00,2021-03-02 20:30:00,1,0.02319902,0.27838824,0,0,0,0,0,0,0,0,15,1,1
12,2021-03-02 20:45:00,1.004308,2021-03-02 20:39:00,2021-03-02 20:45:00,1,0.02319902,0.25518922,0,0,0,0,0,0,0,0,15,1,1.25
12,2021-03-02 21:00:00,0.996923,2021-03-02 20:54:00,2021-03-02 21:00:00,1,0.02319902,0.27838824,0,0,0,0,0,0,0,0,15,1,1.5
12,2021-03-02 21:15:00,0.9991384,2021-03-02 21:09:00,2021-03-02 21:15:00,1,0.02319902,0.27838824,0,0,0,0,0,0,0,0,15,1,1.75
12,2021-03-02 21:30:00,1.005046,2021-03-02 21:24:00,2021-03-02 21:30:00,1,0.02319902,0.25518922,0,0,0,0,0,0,0,0,15,1,2
12,2021-03-02 21:45:00,0.9998769,2021-03-02 21:39:00,2021-03-02 21:45:00,1,0.02319902,0.30158726,0,0,0,0,0,0,0,0,15,1,2.25
12,2021-03-02 22:00:00,0.9976615,2021-03-02 21:54:00,2021-03-02 22:00:00,1,0.02319902,0.30158726,0,0,0,0,0,0,0,0,15,1,2.5
12,2021-03-02 22:15:00,1.006523,2021-03-02 22:09:00,2021-03-02 22:15:00,1,0.02319902,0.25518922,0,0,0,0,0,0,0,0,15,1,2.75
12,2021-03-02 22:30:00,0.9991384,2021-03-02 22:24:00,2021-03-02 22:30:00,1,0.02319902,0.32478628,0,0,0,0,0,0,0,0,15,1,3
12,2021-03-02 22:45:00,1.008,2021-03-02 22:39:00,2021-03-02 22:45:00,1,0.02319902,0.30158726,0,0,0,0,0,0,0,0,15,1,3.25
12,2021-03-02 23:00:00,1.009477,2021-03-02 22:54:00,2021-03-02 23:00:00,1,0.02319902,0.30158726,0,0,0,0,0,0,0,0,15,1,3.5
12,2021-03-02 23:15:00,0.9939692,2021-03-02 23:09:00,2021-03-02 23:15:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,3.75
12,2021-03-02 23:30:00,0.9984,2021-03-02 23:24:00,2021-03-02 23:30:00,1,0.02442002,0.29304024,0,0,0,0,0,0,0,0,15,1,4
12,2021-03-02 23:45:00,1.009477,2021-03-02 23:39:00,2021-03-02 23:45:00,1,0.02442002,0.29304024,0,0,0,0,0,0,0,0,15,1,4.25
12,2021-03-03 00:00:00,1.009477,2021-03-02 23:54:00,2021-03-03 00:00:00,1,0.02442002,0.34188028,0,0,0,0,0,0,0,0,15,1,4.5
12,2021-03-03 00:15:00,1.004308,2021-03-03 00:09:00,2021-03-03 00:15:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,4.75
12,2021-03-03 00:30:00,1.009477,2021-03-03 00:24:00,2021-03-03 00:30:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,5
12,2021-03-03 00:45:00,1.005046,2021-03-03 00:39:00,2021-03-03 00:45:00,1,0.02442002,0.34188028,0,0,0,0,0,0,0,0,15,1,5.25
12,2021-03-03 01:00:00,1.009477,2021-03-03 00:54:00,2021-03-03 01:00:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,5.5
12,2021-03-03 01:15:00,1.005785,2021-03-03 01:09:00,2021-03-03 01:15:00,1,0.02442002,0.3663003,0,0,0,0,0,0,0,0,15,1,5.75
12,2021-03-03 01:30:00,1.004308,2021-03-03 01:24:00,2021-03-03 01:30:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,6
12,2021-03-03 01:45:00,1.005785,2021-03-03 01:39:00,2021-03-03 01:45:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,6.25
12,2021-03-03 02:00:00,0.9939692,2021-03-03 01:54:00,2021-03-03 02:00:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,6.5
12,2021-03-03 02:15:00,0.996923,2021-03-03 02:09:00,2021-03-03 02:15:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,6.75
12,2021-03-03 02:30:00,1.009477,2021-03-03 02:24:00,2021-03-03 02:30:00,1,0.02442002,0.2442002,0,0,0,0,0,0,0,0,15,1,7
12,2021-03-03 02:45:00,0.9895384,2021-03-03 02:39:00,2021-03-03 02:45:00,1,0.02442002,0.29304024,0,0,0,0,0,0,0,0,15,1,7.25
12,2021-03-03 03:00:00,1.012431,2021-03-03 02:54:00,2021-03-03 03:00:00,1,0.02442002,0.29304024,0,0,0,0,0,0,0,0,15,1,7.5
12,2021-03-03 03:15:00,0.996923,2021-03-03 03:09:00,2021-03-03 03:15:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,7.75
12,2021-03-03 03:30:00,1.011692,2021-03-03 03:25:00,2021-03-03 03:30:00,1,0.02442002,0.31746026,0,0,0,0,0,0,0,0,15,1,8
12,2021-03-03 03:45:00,1.008,2021-03-03 03:40:00,2021-03-03 03:45:00,1,0.02442002,0.26862022,0,0,0,0,0,0,0,0,15,1,8.25
