TMDT,F12_F,F12_T
8/4/2021 0:00,1.098831,0.02564103
8/4/2021 0:05,1.090708,0.02564103
8/4/2021 0:10,1.104,0.02564103
8/4/2021 0:15,1.089969,0.02564103
8/4/2021 0:20,1.095877,0.02564103
8/4/2021 0:25,1.089969,0.02564103
8/4/2021 0:30,1.089231,0.02564103
8/4/2021 0:35,1.098831,0.02564103
8/4/2021 0:40,1.096615,0.02808303
8/4/2021 0:45,1.085538,0.02564103
8/4/2021 0:50,1.101785,0.02564103
8/4/2021 0:55,1.089231,0.02564103
8/4/2021 1:00,1.095138,0.02564103
8/4/2021 1:05,1.090708,0.02564103
8/4/2021 1:10,1.104738,0.02564103
8/4/2021 1:15,1.087754,0.02564103
8/4/2021 1:20,1.100308,0.02564103
8/4/2021 1:25,1.105477,0.02564103
8/4/2021 1:30,1.101785,0.02564103
8/4/2021 1:35,1.107692,0.02564103
8/4/2021 1:40,1.098831,0.02564103
8/4/2021 1:45,1.112862,0.02564103
8/4/2021 1:50,1.110646,0.02564103
8/4/2021 1:55,1.101785,0.02564103
8/4/2021 2:00,1.104,0.02564103
8/4/2021 2:05,1.108431,0.02564103
8/4/2021 2:10,1.089969,0.02564103
8/4/2021 2:15,1.090708,0.02564103
8/4/2021 2:20,1.090708,0.02564103
8/4/2021 2:25,1.106954,0.02564103
8/4/2021 2:30,1.103261,0.02564103
8/4/2021 2:35,1.101785,0.02564103
8/4/2021 2:40,1.098831,0.02564103
8/4/2021 2:45,1.093662,0.02564103
8/4/2021 2:50,1.111385,0.02564103
8/4/2021 2:55,1.102523,0.02564103
8/4/2021 3:00,1.103261,0.02564103
8/4/2021 3:05,1.096615,0.02564103
8/4/2021 3:10,1.098092,0.02564103
8/4/2021 3:15,1.100308,0.02564103
8/4/2021 3:20,1.097354,0.02564103
8/4/2021 3:25,1.081846,0.02564103
8/4/2021 3:30,1.100308,0.02564103
8/4/2021 3:35,1.086277,0.02564103
8/4/2021 3:40,1.098831,0.02564103
8/4/2021 3:45,1.078154,0.02564103
8/4/2021 3:50,1.098092,0.02564103
8/4/2021 3:55,1.087754,0.02564103
8/4/2021 4:00,1.091446,0.02564103
8/4/2021 4:05,1.091446,0.02564103
8/4/2021 4:10,1.089231,0.02564103
8/4/2021 4:15,1.086277,0.02564103
8/4/2021 4:20,1.087015,0.02564103
8/4/2021 4:25,1.0944,0.02564103
8/4/2021 4:30,1.089969,0.02564103
8/4/2021 4:35,1.0944,0.02564103
8/4/2021 4:40,1.099569,0.02564103
8/4/2021 4:45,1.093662,0.02564103
8/4/2021 4:50,1.089969,0.02564103
8/4/2021 4:55,1.092923,0.02564103
8/4/2021 5:00,1.095877,0.02564103
8/4/2021 5:05,1.084062,0.02564103
8/4/2021 5:10,1.148308,0.02564103
8/4/2021 5:15,1.126892,0.02564103
8/4/2021 5:20,1.128369,0.02564103
8/4/2021 5:25,1.119508,0.02564103
8/4/2021 5:30,1.120246,0.02564103
8/4/2021 5:35,1.109169,0.02564103
8/4/2021 5:40,1.112862,0.02564103
8/4/2021 5:45,1.115077,0.02564103
8/4/2021 5:50,1.096615,0.02564103
8/4/2021 5:55,1.110646,0.02564103
8/4/2021 6:00,1.108431,0.02564103
8/4/2021 6:05,1.098092,0.02564103
8/4/2021 6:10,1.111385,0.02564103
8/4/2021 6:15,1.089231,0.02564103
8/4/2021 6:20,1.112123,0.02686203
8/4/2021 6:25,1.108431,0.02564103
8/4/2021 6:30,1.108431,0.02564103
8/4/2021 6:35,1.105477,0.02564103
8/4/2021 6:40,1.106215,0.02564103
8/4/2021 6:45,1.108431,0.02564103
8/4/2021 6:50,1.104,0.02564103
8/4/2021 6:55,1.105477,0.02686203
8/4/2021 7:00,1.108431,0.02564103
8/4/2021 7:05,1.104,0.02564103
8/4/2021 7:10,1.115077,0.02564103
8/4/2021 7:15,1.111385,0.02564103
8/4/2021 7:20,1.110646,0.02564103
8/4/2021 7:25,1.107692,0.02564103
8/4/2021 7:30,1.107692,0.02686203
8/4/2021 7:35,1.108431,0.02686203
8/4/2021 7:40,1.119508,0.02686203
8/4/2021 7:45,1.116554,0.02686203
8/4/2021 7:50,1.098831,0.02564103
8/4/2021 7:55,1.104,0.02564103
8/4/2021 8:00,1.106954,0.02686203
8/4/2021 8:05,1.105477,0.03052503
8/4/2021 8:10,1.056,0.02686203
8/4/2021 8:15,1.1232,0.02808303
8/4/2021 8:20,1.0944,0.02808303
8/4/2021 8:25,1.0944,0.02686203
8/4/2021 8:30,1.0944,0.02686203
8/4/2021 8:35,1.095877,0.02686203
8/4/2021 8:40,1.102523,0.02686203
8/4/2021 8:45,1.105477,0.02686203
8/4/2021 8:50,1.084062,0.02686203
8/4/2021 8:55,1.102523,0.02686203
8/4/2021 9:00,1.099569,0.02686203
8/4/2021 9:05,1.095138,0.02686203
8/4/2021 9:10,1.089969,0.02686203
8/4/2021 9:15,1.097354,0.02686203
8/4/2021 9:20,1.103261,0.02686203
8/4/2021 9:25,1.095138,0.02686203
8/4/2021 9:30,1.100308,0.02686203
8/4/2021 9:35,1.108431,0.02686203
8/4/2021 9:40,1.108431,0.02686203
8/4/2021 9:45,1.101785,0.02686203
8/4/2021 9:50,1.105477,0.02686203
8/4/2021 9:55,1.110646,0.02686203
8/4/2021 10:00,1.104,0.02686203
8/4/2021 10:05,1.1136,0.02686203
8/4/2021 10:10,1.112862,0.02686203
8/4/2021 10:15,1.106954,0.02686203
8/4/2021 10:20,1.110646,0.02686203
8/4/2021 10:25,1.105477,0.02686203
8/4/2021 10:30,1.109169,0.02686203
8/4/2021 10:35,1.106215,0.02686203
