Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
07649,08/05/2021,05:08,168,26,5,1,0,0,0,0,0,200,76.50,1318.21,8.05,5.23,15.15,60.01,0.85,99.75,0.02,1583.77,75,85,100,00002
07650,08/05/2021,05:23,106,20,3,1,0,0,0,0,0,130,76.51,1333.21,8.05,5.38,15.15,60.01,0.85,99.75,0.02,1598.93,75,85,99,00003
07651,08/05/2021,05:38,100,18,3,1,0,0,0,0,0,121,76.52,1348.21,8.05,5.53,15.15,60.01,0.85,99.75,0.02,1614.09,75,85,99,00004
07652,08/05/2021,05:53,101,17,3,0,0,0,0,0,0,122,76.53,1363.21,8.05,6.08,15.15,60.01,0.85,100.75,0.02,1630.65,75,85,99,00005
07653,08/05/2021,06:08,160,29,7,1,0,0,0,0,0,197,76.54,1378.21,8.05,6.23,15.15,60.01,0.85,99.75,0.02,1644.81,75,85,100,00006
07654,08/05/2021,06:23,97,17,4,0,0,0,0,0,0,118,76.55,1393.21,8.05,6.38,15.15,60.01,0.85,99.75,0.02,1659.97,75,85,99,00007
07655,08/05/2021,06:38,100,16,3,0,0,0,0,0,0,119,76.56,1408.21,8.05,6.53,15.15,60.01,0.85,100.75,0.02,1676.13,75,85,99,00008
07656,08/05/2021,06:53,99,17,3,1,0,0,0,0,0,120,76.57,1423.21,8.05,7.08,15.15,60.01,0.85,100.75,0.02,1691.69,75,85,100,00009
07657,08/05/2021,07:08,144,24,5,2,0,0,0,0,0,175,76.58,1438.21,8.05,7.23,15.15,60.01,0.85,99.75,0.02,1705.85,75,85,100,00010
07658,08/05/2021,07:23,101,18,4,1,0,0,0,0,0,123,76.59,1453.21,8.05,7.38,15.15,60.01,0.85,99.75,0.02,1721.01,75,85,99,00011
07659,08/05/2021,07:38,104,18,3,1,0,0,0,0,0,126,76.60,27.21,8.05,7.53,15.15,60.01,0.85,100.75,0.02,296.17,75,85,99,00012
07660,08/05/2021,07:53,99,17,3,1,0,0,0,0,0,120,76.61,42.21,8.05,8.08,15.15,60.01,0.85,99.75,0.02,310.73,75,85,100,00013
07661,08/05/2021,08:08,124,20,4,0,0,0,0,0,0,150,76.62,57.21,8.05,8.24,15.15,60.01,0.85,99.75,0.02,325.90,75,85,99,00014
07662,08/05/2021,08:24,95,16,3,0,0,0,0,0,0,115,76.63,72.21,8.05,8.39,15.15,60.01,0.85,99.75,0.02,341.06,75,85,99,00015
07663,08/05/2021,08:39,94,16,3,0,0,0,0,0,0,114,76.64,87.21,8.05,8.54,15.15,60.01,0.85,100.75,0.02,357.22,75,85,99,00016
07664,08/05/2021,08:54,95,17,3,0,0,0,0,0,0,115,76.65,102.21,8.05,9.09,15.15,60.01,0.85,100.75,0.02,372.78,75,85,100,00017
07665,08/05/2021,09:09,144,25,5,2,0,0,0,0,0,176,76.66,117.21,8.05,9.24,15.15,60.01,0.85,100.75,0.02,387.94,75,85,100,00018
07666,08/05/2021,09:24,108,17,3,1,0,0,0,0,0,129,76.67,132.21,8.05,9.39,15.15,60.01,0.85,100.75,0.02,403.10,75,85,100,00019
07667,08/05/2021,09:39,104,18,4,0,0,0,0,0,0,127,76.68,147.21,8.05,9.54,15.15,60.01,0.85,100.75,0.02,418.26,75,85,100,00020
07668,08/05/2021,09:54,99,18,3,1,0,0,0,0,0,121,76.69,162.21,8.05,10.09,15.15,60.01,0.85,100.75,0.02,433.82,75,85,100,00021
07669,08/05/2021,10:09,157,25,7,1,0,0,0,0,0,190,76.70,177.21,8.05,10.24,15.15,60.01,0.85,100.75,0.02,448.98,75,85,100,00022
07670,08/05/2021,10:24,91,15,4,0,0,0,0,0,0,111,76.71,192.21,8.05,10.39,15.15,60.01,0.85,100.75,0.02,464.14,75,85,100,00023
07671,08/05/2021,10:39,94,14,3,1,0,0,0,0,0,112,76.72,207.21,8.05,10.54,15.15,60.01,0.85,100.75,0.02,479.30,75,85,100,00024
