Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
27479,08/05/2021,04:33,0,0,0,0,0,0,0,0,0,0,274.80,1140.21,8.05,4.48,15.15,60.01,0.12,103.75,0.02,1606.59,75,12,103,00002
27480,08/05/2021,04:48,0,0,0,0,0,0,0,0,0,0,274.81,1155.21,8.05,5.03,15.15,60.01,0.12,103.75,0.02,1622.15,75,12,103,00003
27481,08/05/2021,05:03,0,0,0,0,0,0,0,0,0,0,274.82,1170.21,8.05,5.18,15.15,60.01,0.12,103.75,0.02,1637.31,75,12,103,00004
27482,08/05/2021,05:18,0,0,0,0,0,0,0,0,0,0,274.83,1185.21,8.05,5.33,15.15,60.01,0.11,103.75,0.02,1652.46,75,12,103,00005
27483,08/05/2021,05:33,0,0,0,0,0,0,0,0,0,0,274.84,1200.21,8.05,5.48,15.15,60.01,0.11,103.75,0.02,1667.62,75,11,103,00006
27484,08/05/2021,05:48,0,0,0,0,0,0,0,0,0,0,274.85,1215.21,8.05,6.03,15.15,60.01,0.11,103.75,0.02,1683.18,75,11,103,00007
27485,08/05/2021,06:03,0,0,0,0,0,0,0,0,0,0,274.86,1230.21,8.05,6.18,15.15,60.01,0.11,103.75,0.02,1698.34,75,11,103,00008
27486,08/05/2021,06:18,0,0,0,0,0,0,0,0,0,0,274.87,1245.21,8.05,6.33,15.15,60.01,0.11,103.75,0.02,1713.50,75,11,103,00009
27487,08/05/2021,06:33,0,0,0,0,0,0,0,0,0,0,274.88,1260.21,8.05,6.48,15.15,60.01,0.11,103.75,0.02,1728.66,75,11,103,00010
27488,08/05/2021,06:48,0,0,0,0,0,0,0,0,0,0,274.89,1275.21,8.05,7.03,15.15,60.01,0.11,103.75,0.02,1744.22,75,11,103,00011
27489,08/05/2021,07:03,0,0,0,0,0,0,0,0,0,0,274.90,1290.21,8.05,7.18,15.15,60.01,0.11,103.75,0.02,1759.38,75,11,103,00012
27490,08/05/2021,07:18,0,0,0,0,0,0,0,0,0,0,274.91,1305.21,8.05,7.33,15.15,60.01,0.12,103.75,0.02,1774.55,75,11,103,00013
27491,08/05/2021,07:33,0,0,0,0,0,0,0,0,0,0,274.92,1320.21,8.05,7.48,15.15,60.01,0.12,103.75,0.02,1789.71,75,12,103,00014
27492,08/05/2021,07:48,0,0,0,0,0,0,0,0,0,0,274.93,1335.21,8.05,8.03,15.15,60.01,0.12,103.75,0.02,1805.27,75,12,103,00015
27493,08/05/2021,08:03,0,0,0,0,0,0,0,0,0,0,274.94,1350.21,8.05,8.18,15.15,60.01,0.12,103.75,0.02,1820.43,75,12,103,00016
27494,08/05/2021,08:18,0,0,0,0,0,0,0,0,0,0,274.95,1365.21,8.05,8.33,15.15,60.01,0.12,103.75,0.02,1835.59,75,12,103,00017
