Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
1188,3/2/2021,19:24,12,1,0,0,0,0,0,0,0,12,11.89,291.21,3.02,19.39,15.15,60.01,0.93,92.75,0.02,494.37,75,93,92,2
1189,3/2/2021,19:39,12,0,0,0,0,0,0,0,0,12,11.9,306.21,3.02,19.54,15.15,60.01,0.93,92.75,0.02,509.53,75,93,92,3
1190,3/2/2021,19:54,10,0,0,0,0,0,0,0,0,11,11.91,321.21,3.02,20.09,15.15,60.01,0.93,92.75,0.02,525.09,75,93,92,4
1191,3/2/2021,20:09,12,0,0,0,0,0,0,0,0,12,11.92,336.21,3.02,20.24,15.15,60.01,0.93,92.75,0.02,540.25,75,93,92,5
1192,3/2/2021,20:24,12,0,0,0,0,0,0,0,0,12,11.93,351.21,3.02,20.39,15.15,60.01,0.93,92.75,0.02,555.41,75,93,92,6
1193,3/2/2021,20:39,11,0,0,0,0,0,0,0,0,11,11.94,366.21,3.02,20.54,15.15,60.01,0.93,92.75,0.02,570.57,75,93,92,7
1194,3/2/2021,20:54,12,0,0,0,0,0,0,0,0,13,11.95,381.21,3.02,21.09,15.15,60.01,0.93,92.75,0.02,586.13,75,93,92,8
1195,3/2/2021,21:09,12,0,0,0,0,0,0,0,0,12,11.96,396.21,3.02,21.24,15.15,60.01,0.93,92.75,0.02,601.29,75,93,92,9
1196,3/2/2021,21:24,11,0,0,0,0,0,0,0,0,12,11.97,411.21,3.02,21.39,15.15,60.01,0.93,92.75,0.02,616.45,75,93,92,10
1197,3/2/2021,21:39,13,0,0,0,0,0,0,0,0,14,11.98,426.21,3.02,21.54,15.15,60.01,0.93,92.75,0.02,631.61,75,93,92,11
1198,3/2/2021,21:54,13,0,0,0,0,0,0,0,0,13,11.99,441.21,3.02,22.09,15.15,60.01,0.93,92.75,0.02,647.17,75,93,92,12
1199,3/2/2021,22:09,11,0,0,0,0,0,0,0,0,12,12,456.21,3.02,22.24,15.15,60.01,0.93,92.75,0.02,662.33,75,93,92,13
1200,3/2/2021,22:24,14,0,0,0,0,0,0,0,0,15,12.01,471.21,3.02,22.39,15.15,60.01,0.93,92.75,0.02,677.49,75,93,92,14
1201,3/2/2021,22:39,13,0,0,0,0,0,0,0,0,14,12.02,486.21,3.02,22.54,15.15,60.01,0.93,92.75,0.02,692.65,75,93,92,15
1202,3/2/2021,22:54,13,0,0,0,0,0,0,0,0,13,12.03,501.21,3.02,23.09,15.15,60.01,0.93,92.75,0.02,708.21,75,93,92,16
1203,3/2/2021,23:09,13,0,0,0,0,0,0,0,0,13,12.04,516.21,3.02,23.24,15.15,60.01,0.93,92.75,0.02,723.37,75,93,92,17
1204,3/2/2021,23:24,12,0,0,0,0,0,0,0,0,13,12.05,531.21,3.02,23.39,15.15,60.01,0.93,92.75,0.02,738.53,75,93,92,18
1205,3/2/2021,23:39,12,0,0,0,0,0,0,0,0,13,12.06,546.21,3.02,23.54,15.15,60.01,0.93,92.75,0.02,753.69,75,93,92,19
1206,3/2/2021,23:54,14,0,0,0,0,0,0,0,0,14,12.07,561.21,3.03,0.09,15.15,60.01,0.93,92.75,0.02,745.26,75,93,92,20
1207,3/3/2021,0:09,13,0,0,0,0,0,0,0,0,13,12.08,576.21,3.03,0.24,15.15,60.01,0.93,92.75,0.02,760.42,75,93,92,21
