Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
06274,07/21/2021,21:15,0,0,0,0,0,0,0,0,0,0,62.75,859.21,7.21,21.30,15.10,60.01,0.90,101.75,0.02,1128.25,75,90,101,00002
06275,07/21/2021,21:30,0,0,0,0,0,0,0,0,0,0,62.76,874.21,7.21,21.45,15.10,60.01,0.90,101.75,0.02,1143.41,75,90,101,00003
06276,07/21/2021,21:45,0,0,0,0,0,0,0,0,0,0,62.77,889.21,7.21,22.00,15.10,60.01,0.90,101.75,0.02,1158.97,75,90,101,00004
06277,07/21/2021,22:00,0,0,0,0,0,0,0,0,0,0,62.78,904.21,7.21,22.15,15.10,60.01,0.90,101.75,0.02,1174.13,75,90,101,00005
06278,07/21/2021,22:15,0,0,0,0,0,0,0,0,0,0,62.79,919.21,7.21,22.30,15.10,60.01,0.90,101.75,0.02,1189.29,75,90,101,00006
06279,07/21/2021,22:30,0,0,0,0,0,0,0,0,0,0,62.80,934.21,7.21,22.45,15.10,60.01,0.90,101.75,0.02,1204.45,75,90,101,00007
06280,07/21/2021,22:45,0,0,0,0,0,0,0,0,0,0,62.81,949.21,7.21,23.00,15.10,60.01,0.90,101.75,0.02,1220.01,75,90,101,00008
06281,07/21/2021,23:00,0,0,0,0,0,0,0,0,0,0,62.82,964.21,7.21,23.15,15.10,60.01,0.90,101.75,0.02,1235.17,75,90,101,00009
06282,07/21/2021,23:15,0,0,0,0,0,0,0,0,0,0,62.83,979.21,7.21,23.30,15.10,60.01,0.90,101.75,0.02,1250.33,75,90,101,00010
06283,07/21/2021,23:30,0,0,0,0,0,0,0,0,0,0,62.84,994.21,7.21,23.45,15.10,60.01,0.90,101.75,0.02,1265.49,75,90,101,00011
06284,07/21/2021,23:45,0,0,0,0,0,0,0,0,0,0,62.85,1009.21,7.22,0.00,15.10,60.01,0.90,101.75,0.02,1257.06,75,90,101,00012
06285,07/22/2021,00:00,0,0,0,0,0,0,0,0,0,0,62.86,1024.21,7.22,0.15,15.10,60.01,0.90,101.75,0.02,1272.22,75,90,101,00013
06286,07/22/2021,00:15,0,0,0,0,0,0,0,0,0,0,62.87,1039.21,7.22,0.30,15.10,60.01,0.90,101.75,0.02,1287.38,75,90,101,00014
06287,07/22/2021,00:30,0,0,0,0,0,0,0,0,0,0,62.88,1054.21,7.22,0.45,15.10,60.01,0.90,101.75,0.02,1302.54,75,90,101,00015
06288,07/22/2021,00:45,0,0,0,0,0,0,0,0,0,0,62.89,1069.21,7.22,1.00,15.10,60.01,0.90,101.75,0.02,1318.10,75,90,101,00016
06289,07/22/2021,01:00,0,0,0,0,0,0,0,0,0,0,62.90,1084.21,7.22,1.15,15.10,60.01,0.90,101.75,0.02,1333.26,75,90,101,00017
06290,07/22/2021,01:15,0,0,0,0,0,0,0,0,0,0,62.91,1099.21,7.22,1.30,15.10,60.01,0.90,101.75,0.02,1348.42,75,90,101,00018
06291,07/22/2021,01:30,0,0,0,0,0,0,0,0,0,0,62.92,1114.21,7.22,1.45,15.10,60.01,0.90,101.75,0.02,1363.58,75,90,101,00019
06292,07/22/2021,01:45,0,0,0,0,0,0,0,0,0,0,62.93,1129.21,7.22,2.00,15.10,60.01,0.90,101.75,0.02,1379.14,75,90,101,00020
