Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
4442,7/2/2021,17:14,72,24,16,3,0,0,0,0,0,116,44.43,637.21,7.02,17.29,15.15,60.01,0.93,100.75,0.02,882.81,75,93,100,1
4443,7/2/2021,17:29,71,23,15,3,0,0,0,0,0,111,44.44,652.21,7.02,17.44,15.15,60.01,0.93,100.75,0.02,897.97,75,93,100,2
4444,7/2/2021,17:44,71,22,16,2,0,0,0,0,0,111,44.45,667.21,7.02,17.59,15.15,60.01,0.93,100.75,0.02,913.13,75,93,100,3
4445,7/2/2021,17:59,74,23,17,2,0,0,0,0,0,116,44.46,682.21,7.02,18.14,15.15,60.01,0.93,100.75,0.02,928.69,75,93,100,4
4446,7/2/2021,18:14,72,23,15,2,0,0,0,0,0,112,44.47,697.21,7.02,18.29,15.15,60.01,0.93,100.75,0.02,943.85,75,93,100,5
4447,7/2/2021,18:29,72,23,17,2,0,0,0,0,0,113,44.48,712.21,7.02,18.45,15.15,60.01,0.93,100.75,0.02,959.02,75,93,100,6
4448,7/2/2021,18:45,68,23,16,2,0,0,0,0,0,110,44.49,727.21,7.02,19,15.15,60.01,0.93,100.75,0.02,974.58,75,93,100,7
4449,7/2/2021,19:00,75,26,15,3,0,0,0,0,0,118,44.5,742.21,7.02,19.15,15.15,60.01,0.93,100.75,0.02,989.74,75,93,100,8
4450,7/2/2021,19:15,74,23,16,2,0,0,0,0,0,115,44.51,758.21,7.02,19.3,15.15,60.01,0.93,100.75,0.02,1005.9,75,93,100,9
4451,7/2/2021,19:30,74,24,16,3,0,0,0,0,0,117,44.52,773.21,7.02,19.45,15.15,60.01,0.93,100.75,0.02,1021.06,75,93,100,10
4452,7/2/2021,19:45,72,21,16,1,0,0,0,0,0,111,44.53,788.21,7.02,20,15.15,60.01,0.93,100.75,0.02,1036.62,75,93,100,11
