Record Index,Date,Time,Cnts 1,Cnts 2,Cnts 3,Cnts 4,Cnts 5,Cnts 6,Cnts 7,Cnts 8,Cnts 9,Total Cnts,PPB 1,PPB 2,PPB 3,PPB 4,PPB 5,PPB 6,PPB 7,PPB 8,PPB 9,Total PPB,Flow Rate,Cell Condition,Laser Condition,Index
14689,07/21/2021,21:31,34,6,1,0,0,0,0,0,0,41,146.90,874.21,7.21,21.46,15.15,60.01,0.92,100.75,0.02,1226.63,75,92,100,00002
14690,07/21/2021,21:46,34,6,1,0,0,0,0,0,0,42,146.91,889.21,7.21,22.01,15.15,60.01,0.92,100.75,0.02,1242.19,75,92,100,00003
14691,07/21/2021,22:01,36,6,1,0,0,0,0,0,0,43,146.92,904.21,7.21,22.16,15.15,60.01,0.92,100.75,0.02,1257.35,75,92,100,00004
14692,07/21/2021,22:16,34,7,1,0,0,0,0,0,0,42,146.93,919.21,7.21,22.31,15.15,60.01,0.92,100.75,0.02,1272.51,75,92,100,00005
14693,07/21/2021,22:31,34,5,1,0,0,0,0,0,0,40,146.94,934.21,7.21,22.46,15.15,60.01,0.92,100.75,0.02,1287.67,75,92,100,00006
14694,07/21/2021,22:46,39,7,2,1,0,0,0,0,0,48,146.95,949.21,7.21,23.01,15.15,60.01,0.92,100.75,0.02,1303.23,75,92,100,00007
14695,07/21/2021,23:01,38,7,1,1,0,0,0,0,0,46,146.96,964.21,7.21,23.16,15.15,60.01,0.92,100.75,0.02,1318.39,75,92,100,00008
14696,07/21/2021,23:16,38,6,1,0,0,0,0,0,0,45,146.97,979.21,7.21,23.31,15.15,60.01,0.92,100.75,0.02,1333.55,75,92,100,00009
14697,07/21/2021,23:31,46,8,2,0,0,0,0,0,0,56,146.98,994.21,7.21,23.46,15.15,60.01,0.92,100.75,0.02,1348.71,75,92,100,00010
14698,07/21/2021,23:46,44,8,1,0,0,0,0,0,0,54,146.99,1009.21,7.22,0.01,15.15,60.01,0.92,100.75,0.02,1340.28,75,92,100,00011
14699,07/22/2021,00:01,44,9,1,0,0,0,0,0,0,55,147.00,1024.21,7.22,0.16,15.15,60.01,0.92,100.75,0.02,1355.44,75,92,100,00012
14700,07/22/2021,00:16,42,8,2,0,0,0,0,0,0,52,147.01,1039.21,7.22,0.31,15.15,60.01,0.92,100.75,0.02,1370.60,75,92,100,00013
14701,07/22/2021,00:31,44,8,2,0,0,0,0,0,0,54,147.02,1054.21,7.22,0.46,15.15,60.01,0.92,100.75,0.02,1385.76,75,92,100,00014
